Title,Artist
The Way I Live,Baby Boy Da Prince
Here (In Your Arms),Hellogoodbye
Ayo Technology,50 Cent
Last Night,Keyshia Cole
"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",Wyclef Jean
Makes Me Wonder,Maroon 5
Cupid's Chokehold / Breakfast in America - Radio Mix,Gym Class Heroes
LoveStoned / I Think She Knows (Interlude),Justin Timberlake
Acceptable in the 80's,Calvin Harris
Outta My System (feat. T-Pain & JohntÃ¡ Austin),Bow Wow
"Pop, Lock & Drop It - Video Edit",Huey
Proper Education - Radio Edit,Eric Prydz
We Fly High,Jim Jones
Home,Westlife
Runaway Love,Ludacris
Walk It Out,Unk
Your Love Alone Is Not Enough (feat. Nina Persson),Manic Street Preachers
Do You Know? (The Ping Pong Song),Enrique Iglesias
Love Today,MIKA
Home,Daughtry
Stop Me (feat. Daniel Merriweather),Mark Ronson
Low (feat. T-Pain),Flo Rida
I Kissed A Girl,Katy Perry
Take A Bow,Rihanna
No One,Alicia Keys
Apologize,Timbaland
Miss Independent,Ne-Yo
With You,Chris Brown
If I Were a Boy,BeyoncÃ©
Viva La Vida,Coldplay
Flashing Lights,Kanye West
Sex on Fire,Kings of Leon
"You're Gonna Go Far, Kid",The Offspring
Don't Stop The Music,Rihanna
Paper Planes,M.I.A.
American Boy,Estelle
Kids,MGMT
Homecoming,Kanye West
So What,P!nk
Use Somebody,Kings of Leon
Forever,Chris Brown
Womanizer,Britney Spears
Disturbia,Rihanna
Right Now (Na Na Na),Akon
Crank That (Soulja Boy),Soulja Boy
Good Life,Kanye West
Human,The Killers
Paralyzer,Finger Eleven
Infinity 2008 - Klaas Vocal Edit,Guru Josh Project
Touch My Body,Mariah Carey
Ain't No Rest for the Wicked,Cage The Elephant
Live Your Life,T.I.
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna
All Summer Long,Kid Rock
Dangerous,Kardinal Offishall
Love Song,Sara Bareilles
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer
Burnin' Up,Jonas Brothers
Love in This Club (feat. Young Jeezy),USHER
Skinny Love,Bon Iver
When I Grow Up,The Pussycat Dolls
Whatever You Like,T.I.
No Air (feat. Chris Brown),Jordin Sparks
Kiss Kiss (feat. T-Pain),Chris Brown
Pocketful of Sunshine,Natasha Bedingfield
Hot N Cold,Katy Perry
Lollipop,Lil Wayne
Hate That I Love You,Rihanna
Chasing Pavements,Adele
A-Punk,Vampire Weekend
Addicted,Saving Abel
Pjanoo - Radio Edit,Eric Prydz
A Milli,Lil Wayne
Cry for You,September
See You Again,Miley Cyrus
Crush,David Archuleta
Bubbly,Colbie Caillat
Shake It,Metro Station
Superstar (feat. Matthew Santos),Lupe Fiasco
Closer,Ne-Yo
Dance Wiv Me - Radio Edit,Dizzee Rascal
Shadow of the Day,Linkin Park
Can't Help but Wait,Trey Songz
Put On,Jeezy
Violet Hill,Coldplay
All I Ever Wanted - Radio Edit,Basshunter
Better in Time,Leona Lewis
Hypnotized (feat. Akon),Plies
Fall for You,Secondhand Serenade
The Man Who Can't Be Moved,The Script
Now You're Gone (feat. DJ Mental Theo's Bazzheadz) - Video Edit,Basshunter
Say Hey (I Love You) (feat. Cherine Tanya Anderson),Michael Franti & Spearhead
I Hate This Part,The Pussycat Dolls
Love Lockdown,Kanye West
It's Not My Time,3 Doors Down
Piece of Me,Britney Spears
Sexy Can I,Ray J
I Luv Your Girl,The-Dream
Say,John Mayer
Clumsy,Fergie
One Step At a Time,Jordin Sparks
"Bust It Baby, Pt. 2 (feat. Ne-Yo)",Plies
Leavin',Jesse McCartney
Can't Believe It (feat. Lil' Wayne),T-Pain
Just Fine,Mary J. Blige
Break the Ice,Britney Spears
Tattoo,Jordin Sparks
Run,Leona Lewis
What You Got,Colby O'Donis
Stop And Stare,OneRepublic
Hallelujah,Alexandra Burke
Fascination,Alphabeat
Mercy,Duffy
Beggin',Madcon
Suffocate - Superclean,J. Holiday
Spotlight,Jennifer Hudson
My Life,The Game
Got Money,Lil Wayne
Into the Night (feat. Chad Kroeger),Santana
Sensual Seduction,Snoop Dogg
Propane Nightmares,Pendulum
I Gotta Feeling,Black Eyed Peas
Poker Face,Lady Gaga
Halo,BeyoncÃ©
Sexy Bitch (feat. Akon),David Guetta
Right Round,Flo Rida
Love Story,Taylor Swift
Heartless,Kanye West
Sex on Fire,Kings of Leon
Walking On A Dream,Empire of the Sun
I'm Yours,Jason Mraz
Run This Town,JAY-Z
Monster,Skillet
Party In The U.S.A.,Miley Cyrus
Down,Jay Sean
Best I Ever Had,Drake
Kiss Me Thru The Phone,Soulja Boy
Dog Days Are Over,Florence + The Machine
Use Somebody,Kings of Leon
Secrets,OneRepublic
Just Dance,Lady Gaga
You Belong With Me,Taylor Swift
21 Guns,Green Day
Live Your Life,T.I.
Forever,Drake
The Only Exception,Paramore
She Wolf,Shakira
You Found Me,The Fray
Day 'N' Nite (nightmare),Kid Cudi
Whatever You Like,T.I.
Hotel Room Service,Pitbull
Fire Burning,Sean Kingston
Bulletproof,La Roux
One Time,Justin Bieber
Paparazzi,Lady Gaga
If U Seek Amy,Britney Spears
I Know You Want Me (Calle Ocho),Pitbull
Little Lion Man,Mumford & Sons
Birthday Sex,Jeremih
New Divide,Linkin Park
Haven't Met You Yet,Michael BublÃ©
Mad,Ne-Yo
Second Chance,Shinedown
LoveGame,Lady Gaga
DONTTRUSTME,3OH!3
Gives You Hell,The All-American Rejects
The Climb,Miley Cyrus
Lisztomania,Phoenix
Big Green Tractor,Jason Aldean
Meet Me Halfway,Black Eyed Peas
If Today Was Your Last Day,Nickelback
Beautiful,Akon
Single Ladies (Put a Ring on It),BeyoncÃ©
My Life Would Suck Without You,Kelly Clarkson
Obsessed,Mariah Carey
Never Say Never,The Fray
Whatcha Say,Jason Derulo
Sweet Disposition,The Temper Trap
Smile,Uncle Kracker
Boom Boom Pow,Black Eyed Peas
Blame It,Jamie Foxx
Fire,Kasabian
All The Right Moves,OneRepublic
Breakeven,The Script
Naturally,Selena Gomez & The Scene
Knock You Down,Keri Hilson
Two Is Better Than One (feat. Taylor Swift),BOYS LIKE GIRLS
Let It Rock,Kevin Rudolf
Good Girls Go Bad (feat. Leighton Meester),Cobra Starship
Release Me,Agnes
Intro,The xx
I Hate This Part,The Pussycat Dolls
Love Lockdown,Kanye West
Sweet Dreams,BeyoncÃ©
Sober,P!nk
You've Got The Love,Florence + The Machine
Evacuate The Dancefloor - Radio Edit,Cascada
Jai Ho! (You Are My Destiny),A.R. Rahman
Untouched,The Veronicas
Love Drunk,BOYS LIKE GIRLS
Russian Roulette,Rihanna
We Made You,Eminem
Turn My Swag On,Soulja Boy
I'm Not Alone - Radio Edit,Calvin Harris
Please Don't Leave Me,P!nk
Pretty Wings - uncut,Maxwell
Omen,The Prodigy
Fallin' For You,Colbie Caillat
When Love Takes Over (feat. Kelly Rowland),David Guetta
I Love College,Asher Roth
In For The Kill,La Roux
Holiday,Dizzee Rascal
Throw It In The Bag,Fabolous
Number 1,Tinchy Stryder
Already Gone,Kelly Clarkson
Beat Again - Radio Edit,JLS
Waking Up In Vegas,Katy Perry
Bad Boys (feat. Flo Rida),Alexandra Burke
Break Up,Mario
Broken Strings,James Morrison
"Mama Do (Uh Oh, Uh Oh)",Pixie Lott
Just the Way You Are,Bruno Mars
Love The Way You Lie,Eminem
"Hey, Soul Sister",Train
Alors on danse - Radio Edit,Stromae
TiK ToK,Kesha
Memories (feat. Kid Cudi),David Guetta
Dynamite,Taio Cruz
Only Girl (In The World),Rihanna
California Gurls,Katy Perry
Baby,Justin Bieber
Talking to the Moon,Bruno Mars
Danza Kuduro,Don Omar
DJ Got Us Fallin' In Love (feat. Pitbull),USHER
Not Afraid,Eminem
Down,Jay Sean
Fireflies,Owl City
Club Can't Handle Me (feat. David Guetta),Flo Rida
Rude Boy,Rihanna
Nothin' on You (feat. Bruno Mars),B.o.B
Cooler Than Me - Single Mix,Mike Posner
Just A Dream,Nelly
What You Know,Two Door Cinema Club
OMG (feat. will.i.am),USHER
Billionaire (feat. Bruno Mars),Travie McCoy
Teenage Dream,Katy Perry
Telephone,Lady Gaga
Replay,Iyaz
Airplanes (feat. Hayley Williams of Paramore),B.o.B
Bottoms Up (feat. Nicki Minaj),Trey Songz
What's My Name?,Rihanna
Alejandro,Lady Gaga
Empire State of Mind (Part II) Broken Down,Alicia Keys
Over,Drake
Break Your Heart,Taio Cruz
Animal,Neon Trees
Your Love Is My Drug,Kesha
The Time (Dirty Bit),Black Eyed Peas
BedRock,Young Money
Like A G6,Far East Movement
Right Above It,Lil Wayne
Do You Remember,Jay Sean
Deuces (feat. Tyga & Kevin McCall),Chris Brown
Te Amo,Rihanna
Teach Me How to Dougie,Cali Swag District
Take It Off,Kesha
Carry Out (Featuring Justin Timberlake),Timbaland
Find Your Love,Drake
If I Die Young,The Band Perry
Impossible,Shontelle
I Need A Dollar,Aloe Blacc
My Chick Bad,Ludacris
Whatcha Say,Jason Derulo
Blah Blah Blah (feat. 3OH!3),Kesha
Back To December,Taylor Swift
Young Forever,JAY-Z
Imma Be,Black Eyed Peas
I Like It,Enrique Iglesias
Stuck Like Glue,Sugarland
Hey Daddy (Daddy's Home),USHER
Half of My Heart,John Mayer
Can't Be Tamed,Miley Cyrus
Eenie Meenie,Sean Kingston
We No Speak Americano (Edit),Yolanda Be Cool
Forget You,CeeLo Green
STARSTRUKK (feat. Katy Perry),3OH!3
Mine,Taylor Swift
Kickstarts,Example
Heartbreak Warfare,John Mayer
Gold Dust - Radio Edit,DJ Fresh
Say Aah (feat. Fabolous),Trey Songz
How Low,Ludacris
Whataya Want from Me,Adam Lambert
In My Head,Jason Derulo
My First Kiss (feat. Ke$ha),3OH!3
Misery,Maroon 5
One - Radio Edit,Swedish House Mafia
Try Sleeping with a Broken Heart,Alicia Keys
King of Anything,Sara Bareilles
For the First Time,The Script
Dancing On My Own - Radio Edit,Robyn
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame
Wavin' Flag,K'NAAN
Man Down,Rihanna
Beautiful Monster,Ne-Yo
The Flood,Take That
Don't Stop Believin' (Glee Cast Version) - Cover of Journey,Glee Cast
Bromance - Avicii's Radio Edit,Tim Berg
Starry Eyed,Ellie Goulding
All Time Low,The Wanted
Higher,The Saturdays
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled
Live Like We're Dying,Kris Allen
Today Was A Fairytale,Taylor Swift
Gettin' Over You (feat. Fergie & LMFAO),David Guetta
This Ain't a Love Song,Scouting For Girls
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia
Written in the Stars (feat. Eric Turner),Tinie Tempah
Barbra Streisand - Radio Edit,Duck Sauce
Commander,Kelly Rowland
When We Collide,Matt Cardle
Rolling in the Deep,Adele
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5
Party Rock Anthem,LMFAO
Firework,Katy Perry
Grenade,Bruno Mars
Sure Thing,Miguel
Paradise,Coldplay
Pumped Up Kicks,Foster The People
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull
Stereo Hearts (feat. Adam Levine),Gym Class Heroes
Love You Like A Love Song,Selena Gomez & The Scene
Set Fire to the Rain,Adele
A Thousand Years,Christina Perri
Super Bass,Nicki Minaj
We Found Love,Rihanna
Tongue Tied,GROUPLOVE
Raise Your Glass,P!nk
Headlines,Drake
Glad You Came,The Wanted
All Of The Lights,Kanye West
Just Canâ€™t Get Enough,Black Eyed Peas
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame
S&M,Rihanna
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull
Who Says,Selena Gomez & The Scene
Marry You,Bruno Mars
Black and Yellow,Wiz Khalifa
Love On Top,BeyoncÃ©
Springsteen,Eric Church
Dirt Road Anthem,Jason Aldean
Last Friday Night (T.G.I.F.),Katy Perry
The Lazy Song,Bruno Mars
The A Team,Ed Sheeran
Down On Me,Jeremih
What the Hell,Avril Lavigne
Donald Trump,Mac Miller
Good Life,OneRepublic
Lego House,Ed Sheeran
Jar of Hearts,Christina Perri
Midnight City,M83
6 Foot 7 Foot,Lil Wayne
Skinny Love,Birdy
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown
What's My Name?,Rihanna
We R Who We R,Kesha
Every Teardrop Is a Waterfall,Coldplay
Tonight Tonight,Hot Chelle Rae
The Show Goes On,Lupe Fiasco
More - RedOne Jimmy Joker Remix,USHER
I'm On One,DJ Khaled
I Need A Doctor,Dr. Dre
You Make Me Feel... (feat. Sabi),Cobra Starship
It Girl,Jason Derulo
Born This Way,Lady Gaga
Blow,Kesha
Best Thing I Never Had,BeyoncÃ©
Coming Home,Diddy - Dirty Money
Save The World,Swedish House Mafia
If I Die Young,The Band Perry
I Wanna Go,Britney Spears
Rocketeer,Far East Movement
When We Stand Together,Nickelback
E.T.,Katy Perry
How To Love,Lil Wayne
Lighters,Bad Meets Evil
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers
I Follow Rivers - The Magician Remix,Lykke Li
Till the World Ends,Britney Spears
F**kin' Perfect,P!nk
Without You (feat. Usher),David Guetta
Sexy And I Know It,LMFAO
The Edge Of Glory,Lady Gaga
Pretty Girl Rock,Keri Hilson
Honey Bee,Blake Shelton
Motivation,Kelly Rowland
Shake It Out,Florence + The Machine
Price Tag,Jessie J
Just A Kiss,Lady A
I Won't Let You Go,James Morrison
Don't Wanna Go Home,Jason Derulo
Changed the Way You Kiss Me - Radio Edit,Example
Roll Up,Wiz Khalifa
Bounce (feat. Kelis) - Radio Edit,Calvin Harris
Blind Faith,Chase & Status
Mr. Saxobeat - Radio Edit,Alexandra Stan
Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs
Earthquake (feat. Tinie Tempah),Labrinth
Wherever You Will Go,Charlene Soraia
Down With The Trumpets,Rizzle Kicks
Holocene,Bon Iver
Who's That Chick? (feat. Rihanna),David Guetta
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale
Beautiful People,Chris Brown
Champion (feat. Chris Brown),Chip
Do It Like A Dude,Jessie J
Buzzin Remix,Mann
Higher,Taio Cruz
Loca People - Radio Edit,Sak Noel
Louder (feat. Sian Evans),DJ Fresh
Locked out of Heaven,Bruno Mars
Call Me Maybe,Carly Rae Jepsen
We Are Young (feat. Janelle MonÃ¡e),fun.
Diamonds,Rihanna
What Makes You Beautiful,One Direction
Paradise,Coldplay
Don't You Worry Child - Radio Edit,Swedish House Mafia
Feel So Close - Radio Edit,Calvin Harris
Skyfall,Adele
A Thousand Years,Christina Perri
Levels - Radio Edit,Avicii
Everybody Talks,Neon Trees
I Knew You Were Trouble.,Taylor Swift
We Found Love,Rihanna
Drive By,Train
Wild Ones (feat. Sia),Flo Rida
Try,P!nk
Die Young,Kesha
Girl on Fire,Alicia Keys
Good Time,Owl City
Impossible,James Arthur
Ho Hey,The Lumineers
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg
Take Care,Drake
International Love (feat. Chris Brown),Pitbull
Good Feeling,Flo Rida
We Are Never Ever Getting Back Together,Taylor Swift
Ni**as In Paris,JAY-Z
Somebody That I Used To Know,Gotye
The Motto,Drake
Starships,Nicki Minaj
BURN IT DOWN,Linkin Park
Troublemaker (feat. Flo Rida),Olly Murs
Part Of Me,Katy Perry
Gangnam Style (ê°•ë‚¨ìŠ¤íƒ€ì¼),PSY
Little Things,One Direction
"Gone, Gone, Gone",Phillip Phillips
Primadonna,MARINA
Breezeblocks,alt-J
Where Have You Been,Rihanna
Live While We're Young,One Direction
Mercy,Kanye West
The One That Got Away,Katy Perry
I Won't Give Up,Jason Mraz
Payphone,Maroon 5
Latch,Disclosure
Home,Phillip Phillips
I Love It (feat. Charli XCX),Icona Pop
Give Your Heart a Break,Demi Lovato
Bangarang (feat. Sirah),Skrillex
Titanium (feat. Sia),David Guetta
Princess of China,Coldplay
How to Be a Heartbreaker,MARINA
On Top Of The World,Imagine Dragons
Some Nights,fun.
Dirty Paws,Of Monsters and Men
Swimming Pools (Drank) - Extended Version,Kendrick Lamar
It Will Rain,Bruno Mars
Video Games,Lana Del Rey
Adorn,Miguel
Candy,Robbie Williams
Beneath Your Beautiful (feat. Emeli SandÃ©),Labrinth
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,Asaf Avidan
Wide Awake,Katy Perry
Chasing The Sun,The Wanted
m.A.A.d city,Kendrick Lamar
Million Voices - Radio Edit,Otto Knows
Madness,Muse
Born To Die,Lana Del Rey
50 Ways to Say Goodbye,Train
As Long As You Love Me,Justin Bieber
Battle Scars (with Guy Sebastian),Lupe Fiasco
Dance Again (feat. Pitbull),Jennifer Lopez
Stronger (What Doesn't Kill You),Kelly Clarkson
Rumour Has It,Adele
Take a Walk,Passion Pit
Ai Se Eu Te Pego - Ao Vivo,Michel TelÃ³
Scream,USHER
Oblivion,Grimes
Blow Me (One Last Kiss),P!nk
It's Time,Imagine Dragons
Domino,Jessie J
Let's Go (feat. Ne-Yo),Calvin Harris
Lights - Single Version,Ellie Goulding
Wings,Little Mix
212,Azealia Banks
Not Over You,Gavin DeGraw
Silhouettes - Original Radio Edit,Avicii
Sexy And I Know It,LMFAO
Ride,Lana Del Rey
Hands on the Wheel (feat. Asap Rocky),ScHoolboy Q
We'll Be Coming Back (feat. Example),Calvin Harris
So Good,B.o.B
Pound The Alarm,Nicki Minaj
Turn Up the Music,Chris Brown
Angels,The xx
Blown Away,Carrie Underwood
Boyfriend,Justin Bieber
Anna Sun,WALK THE MOON
Mirrors,Justin Timberlake
Blurred Lines,Robin Thicke
Royals,Lorde
Sweater Weather,The Neighbourhood
Another Love,Tom Odell
Locked out of Heaven,Bruno Mars
Wake Me Up,Avicii
Do I Wanna Know?,Arctic Monkeys
Safe And Sound,Capital Cities
Radioactive,Imagine Dragons
When I Was Your Man,Bruno Mars
Love Me,Lil Wayne
Just Give Me a Reason (feat. Nate Ruess),P!nk
Still into You,Paramore
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk
Why'd You Only Call Me When You're High?,Arctic Monkeys
A Thousand Years,Christina Perri
Beauty And A Beat,Justin Bieber
Wrecking Ball,Miley Cyrus
Treasure,Bruno Mars
All I Want,Kodaline
Little Talks,Of Monsters and Men
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis
I Knew You Were Trouble.,Taylor Swift
3005,Childish Gambino
We Can't Stop,Miley Cyrus
Try,P!nk
Heart Attack,Demi Lovato
The Monster,Eminem
Feel This Moment (feat. Christina Aguilera),Pitbull
Scream & Shout,will.i.am
Team,Lorde
Unconditionally,Katy Perry
Power Trip (feat. Miguel),J. Cole
Ho Hey,The Lumineers
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky
Pompeii,Bastille
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey
Let Her Go,Passenger
Clarity,Zedd
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
Black Skinhead,Kanye West
Demons,Imagine Dragons
Ain't It Fun,Paramore
Sail,AWOLNATION
Sweet Nothing (feat. Florence Welch),Calvin Harris
Burn,Ellie Goulding
"Hold On, We're Going Home",Drake
Roar,Katy Perry
Stay,Rihanna
Come & Get It,Selena Gomez
Latch,Disclosure
This Is What It Feels Like,Armin van Buuren
Home,Phillip Phillips
I Love It (feat. Charli XCX),Icona Pop
I Need Your Love (feat. Ellie Goulding),Calvin Harris
Ready or Not,Bridgit Mendler
22,Taylor Swift
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii
We Own It (Fast & Furious),2 Chainz
I Will Wait,Mumford & Sons
Work Bitch,Britney Spears
True Love (feat. Lily Allen),P!nk
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk
Started From the Bottom,Drake
Here's to Never Growing Up,Avril Lavigne
The Way,Ariana Grande
It's a Beautiful Day,Michael BublÃ©
Thinking About You (feat. Ayah Marar),Calvin Harris
Reload - Radio Edit,Sebastian Ingrosso
High Hopes,Kodaline
Don't Stop the Party (feat. TJR),Pitbull
#thatPOWER,will.i.am
Love Me Again,John Newman
Body Party,Ciara
Talk Dirty (feat. 2 Chainz),Jason Derulo
I Cry,Flo Rida
One Way or Another (Teenage Kicks),One Direction
Everything Has Changed,Taylor Swift
Berzerk,Eminem
The Fox (What Does the Fox Say?),Ylvis
Animals - Radio Edit,Martin Garrix
Holy Grail,JAY-Z
Chocolate,The 1975
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis
Daylight,Maroon 5
Bad (feat. Rihanna) - Remix,Wale
Of The Night,Bastille
Fine China,Chris Brown
Play Hard (feat. Ne-Yo & Akon),David Guetta
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris
human,Christina Perri
Need U (100%) (feat. A*M*E) - Radio Edit,Duke Dumont
The Other Side,Jason Derulo
Cruise,Florida Georgia Line
Dear Darlin',Olly Murs
La La La,Naughty Boy
This Is How We Do,Katy Perry
The Mother We Share,CHVRCHES
Night Changes,One Direction
Counting Stars,OneRepublic
A Sky Full of Stars,Coldplay
Photograph,Ed Sheeran
All of Me,John Legend
I'm Not The Only One,Sam Smith
Maps,Maroon 5
Summer,Calvin Harris
Timber (feat. Ke$ha),Pitbull
Story of My Life,One Direction
Rude,MAGIC!
Only Love Can Hurt Like This,Paloma Faith
Thinking out Loud,Ed Sheeran
Stay With Me,Sam Smith
Classic,MKTO
Sugar,Maroon 5
"Happy - From ""Despicable Me 2""",Pharrell Williams
Budapest,George Ezra
Best Day Of My Life,American Authors
Steal My Girl,One Direction
Bang Bang,Jessie J
Love Me Harder,Ariana Grande
Dark Horse,Katy Perry
Hey Brother,Avicii
Waves - Robin Schulz Radio Edit,Mr. Probz
Animals,Maroon 5
Team,Lorde
Blame (feat. John Newman),Calvin Harris
Me And My Broken Heart,Rixton
Shower,Becky G
Shake It Off,Taylor Swift
Am I Wrong,Nico & Vinz
Break Free,Ariana Grande
Collard Greens,ScHoolboy Q
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel
Under Control (feat. Hurts),Calvin Harris
Stolen Dance,Milky Chance
Jealous,Labrinth
Ain't It Fun,Paramore
Superheroes,The Script
Little Do You Know,Alex & Sierra
Problem,Ariana Grande
My Love,Route 94
Burn,Ellie Goulding
All About That Bass,Meghan Trainor
Loyal (feat. Lil Wayne & Tyga),Chris Brown
Habits (Stay High),Tove Lo
Say Something,A Great Big World
Don't Tell 'Em,Jeremih
2 On (feat. ScHoolboy Q),Tinashe
Drunk in Love (feat. Jay-Z),BeyoncÃ©
Magic,Coldplay
Don't,Ed Sheeran
You Know You Like It,DJ Snake
She Looks So Perfect,5 Seconds of Summer
Hot N*gga,Bobby Shmurda
Style,Taylor Swift
Chandelier,Sia
Man Of The Year,ScHoolboy Q
XO,BeyoncÃ©
Sing,Ed Sheeran
Bailando - Spanish Version,Enrique Iglesias
Turn Down for What,DJ Snake
First,Cold War Kids
Jealous - Remix,Nick Jonas
Show Me (feat. Chris Brown),Kid Ink
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick
Fancy,Iggy Azalea
Up (feat. Demi Lovato),Olly Murs
Elastic Heart,Sia
Gecko (Overdrive) - Radio Edit,Oliver Heldens
Red Lights,TiÃ«sto
Talking Body,Tove Lo
Anaconda,Nicki Minaj
Geronimo,Sheppard
Talk Dirty (feat. 2 Chainz),Jason Derulo
Somebody,Natalie La Rose
Hideaway,Kiesza
I Will Never Let You Down,Rita Ora
Bad Blood,Taylor Swift
Black Widow,Iggy Azalea
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd
Ugly Heart,G.R.L.
Amnesia,5 Seconds of Summer
#SELFIE,The Chainsmokers
Money On My Mind,Sam Smith
Na Na,Trey Songz
Trumpets,Jason Derulo
Love Runs Out,OneRepublic
Wasted,TiÃ«sto
Wrapped Up (feat. Travie McCoy),Olly Murs
Faded,ZHU
I Got U,Duke Dumont
I See Fire,Ed Sheeran
The Heart Wants What It Wants,Selena Gomez
The Man,Aloe Blacc
Wiggle (feat. Snoop Dogg),Jason Derulo
Ghost,Ella Henderson
Not a Bad Thing,Justin Timberlake
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion
Uptown Funk (feat. Bruno Mars),Mark Ronson
Thinking out Loud,Ed Sheeran
See You Again (feat. Charlie Puth),Wiz Khalifa
What Do You Mean?,Justin Bieber
Lean On,Major Lazer
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding
The Nights,Avicii
The Less I Know The Better,Tame Impala
Daddy Issues,The Neighbourhood
Love Yourself,Justin Bieber
Shut Up and Dance,WALK THE MOON
Way down We Go,KALEO
One Last Time,Ariana Grande
Don't,Bryson Tiller
The Hills,The Weeknd
Outside (feat. Ellie Goulding),Calvin Harris
Sorry,Justin Bieber
Time of Our Lives,Pitbull
Style,Taylor Swift
Electric Love,BÃ˜RNS
Lush Life,Zara Larsson
Drag Me Down,One Direction
How Deep Is Your Love,Calvin Harris
Can't Feel My Face,The Weeknd
Love Me Harder,Ariana Grande
Locked Away (feat. Adam Levine),R. City
Hotline Bling,Drake
Perfect,One Direction
Sugar (feat. Francesco Yates),Robin Schulz
Cool for the Summer,Demi Lovato
Like I Can,Sam Smith
Take Me to Church,Hozier
FourFiveSeconds,Rihanna
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor
Firestone,Kygo
Renegades,X Ambassadors
